scenario,sample_id,fault_label,risk_level,sensitivity_level,predicted_state,confidence,model_uncertainty,selected_node,decision_type,data_form,maintenance_action,expected_latency_ms,privacy_risk,trust_status,audit_required,decision_reason
normal,AE_0000_ca6ed2,unknown_anomaly,high,non_transferable,unknown,0.7282,0.2718,sensor,local_decision,summary,increase_monitoring,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0001_881f3e,unknown_anomaly,high,confidential,unknown,0.73,0.27,sensor,local_decision,summary,increase_monitoring,1,medium,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0002_694d66,unknown_anomaly,critical,low_risk,unknown,0.8328,0.1672,sensor,local_decision,summary,increase_monitoring,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0003_4cda2b,friction,low,low_risk,warning,0.9333,0.0667,sensor,local_decision,summary,request_operator_check,1,low,untrusted,False,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0004_922623,cavitation,medium,internal,critical,0.769,0.231,sensor,local_decision,summary,safe_shutdown,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0005_80c4b6,unknown_anomaly,high,non_transferable,unknown,0.5989,0.4011,sensor,local_decision,summary,increase_monitoring,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0006_3a588e,leakage,low,non_transferable,warning,0.9658,0.0342,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0007_80dcf0,unknown_anomaly,high,internal,unknown,0.5424,0.4576,sensor,local_decision,summary,increase_monitoring,1,low,untrusted,True,auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0008_5a04cb,impact,critical,internal,critical,0.8889,0.1111,local_edge,local_decision,feature,safe_shutdown,15,low,trusted,True,critical+short_deadline → local_edge
normal,AE_0009_ebb329,crack_growth,low,non_transferable,critical,0.9333,0.0667,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0010_b7db4a,cavitation,high,non_transferable,critical,0.9357,0.0643,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0011_71e71b,impact,critical,low_risk,critical,1.0,0.0,local_edge,local_decision,raw,safe_shutdown,15,low,trusted,True,critical+short_deadline → local_edge
normal,AE_0012_a61675,impact,medium,non_transferable,critical,1.0,0.0,sensor,local_decision,summary,safe_shutdown,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
normal,AE_0013_f773d9,leakage,critical,non_transferable,warning,0.9202,0.0798,sensor,local_decision,summary,request_operator_check,1,medium,untrusted,True,non_transferable: forbidden nodes excluded | auto_select: sensor (latency=1ms) | low_trust_destination → downgraded_data_form_to_summary
